mouse_1.x,mouse_1.y,mouse_1.leftButton,mouse_1.midButton,mouse_1.rightButton,mouse_1.time,mouse_1.clicked_name,participant,date,expName,psychopyVersion,OS,frameRate,condition,stage,scene,correct object,left option,middle option,right option,memory resp,memory rt,accuracy,score,x mouse,y mouse,internal lure,external lure,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Picture_Recognition,Picture_Recognition_2,Q1_l,Q1_m,Q1_r,Feedback_l,Feedback_m,Feedback_r,internal_lure,external_lure,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/schimmel_auf_wand.png,images/objects/schimmelnder_kuhlschrank.png,images/objects/nasse_matratze.png,images/objects/schimmelnder_kuhlschrank.png,images/objects/kaputte_rohrleitung.png,images/objects/nasse_matratze.png,1.8588,0,11,[-0.447222215157968],[-0.11388891714590567],images/objects/nasse_matratze.png,images/objects/kaputte_rohrleitung.png,-0.447222215,-0.113888917,1,0,0,1.8588,image_left,0,29,29,59,1,images/scenes/schimmel_auf_wand.png,images/objects/schimmelnder_kuhlschrank.png,images/objects/nasse_matratze.png,images/objects/schimmelnder_kuhlschrank.png,images/objects/kaputte_rohrleitung.png,Nicht_korrekt,Korrekt,Nicht_korrekt,images/objects/nasse_matratze.png,images/objects/kaputte_rohrleitung.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/verwahrlostes_badezimmer.png,images/objects/verschmutztes_wc.png,images/objects/spinne.png,images/objects/verschmutztes_wc.png,images/objects/verschutteter_kaffee.png,images/objects/verschmutztes_wc.png,1.0668,1,12,[-0.04722220809371383],[-0.14629632455331307],images/objects/verschutteter_kaffee.png,images/objects/spinne.png,-0.047222208,-0.146296325,1,0,0,1.0668,image_middle,0,30,30,29,1,images/scenes/verwahrlostes_badezimmer.png,images/objects/verschmutztes_wc.png,images/objects/spinne.png,images/objects/verschmutztes_wc.png,images/objects/verschutteter_kaffee.png,Nicht_korrekt,Korrekt,Nicht_korrekt,images/objects/verschutteter_kaffee.png,images/objects/spinne.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/uberschwemmung.png,images/objects/kaputtes_sofa.png,images/objects/rettungsboot.png,images/objects/kaputtes_sofa.png,images/objects/dreckiger_teddy.png,images/objects/kaputtes_sofa.png,1.0652,1,13,[0.04444447270146123],[-0.20833333333333334],images/objects/dreckiger_teddy.png,images/objects/rettungsboot.png,0.044444473,-0.208333333,1,0,0,1.0652,image_middle,0,31,31,4,1,images/scenes/uberschwemmung.png,images/objects/kaputtes_sofa.png,images/objects/rettungsboot.png,images/objects/kaputtes_sofa.png,images/objects/dreckiger_teddy.png,Nicht_korrekt,Korrekt,Nicht_korrekt,images/objects/dreckiger_teddy.png,images/objects/rettungsboot.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/unfallstelle_autobahn.png,images/objects/motorraduberreste.png,images/objects/erbrochenes.png,images/objects/zerfetzter_autoreifen.png,images/objects/motorraduberreste.png,images/objects/motorraduberreste.png,1.5987,1,14,[0.5240741305881076],[-0.24537037037037038],images/objects/erbrochenes.png,images/objects/zerfetzter_autoreifen.png,0.524074131,-0.24537037,1,0,0,1.5987,image_right,0,32,32,22,1,images/scenes/unfallstelle_autobahn.png,images/objects/motorraduberreste.png,images/objects/erbrochenes.png,images/objects/zerfetzter_autoreifen.png,images/objects/motorraduberreste.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/erbrochenes.png,images/objects/zerfetzter_autoreifen.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/kuchenbrand.png,images/objects/dreckiger_teddy.png,images/objects/dreckiger_teddy.png,images/objects/kanister_entzundlich.png,images/objects/verbrannte_pfanne.png,images/objects/kanister_entzundlich.png,1.9989,0,14,[0.20648150973849827],[-0.17407410233109086],images/objects/kanister_entzundlich.png,images/objects/verbrannte_pfanne.png,0.20648151,-0.174074102,1,0,0,1.9989,image_middle,0,33,33,19,1,images/scenes/kuchenbrand.png,images/objects/dreckiger_teddy.png,images/objects/dreckiger_teddy.png,images/objects/kanister_entzundlich.png,images/objects/verbrannte_pfanne.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/kanister_entzundlich.png,images/objects/verbrannte_pfanne.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/schlangeninsel.png,images/objects/armbrust.png,images/objects/atemschutzmaske.png,images/objects/tote_giraffe.png,images/objects/armbrust.png,images/objects/tote_giraffe.png,1.0655,0,14,[0.20648150973849827],[-0.17407410233109086],images/objects/tote_giraffe.png,images/objects/atemschutzmaske.png,0.20648151,-0.174074102,1,0,0,1.0655,image_middle,0,34,34,45,1,images/scenes/schlangeninsel.png,images/objects/armbrust.png,images/objects/atemschutzmaske.png,images/objects/tote_giraffe.png,images/objects/armbrust.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/tote_giraffe.png,images/objects/atemschutzmaske.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/krieg_mit_panzer.png,images/objects/brennende_fackel.png,images/objects/tarnkleidung.png,images/objects/brennende_fackel.png,images/objects/kaputtes_flugzeug.png,images/objects/kaputtes_flugzeug.png,0.8761,0,14,[0.4518518801088686],[-0.19907407407407407],images/objects/kaputtes_flugzeug.png,images/objects/tarnkleidung.png,0.45185188,-0.199074074,1,0,0,0.8761,image_right,0,35,35,11,1,images/scenes/krieg_mit_panzer.png,images/objects/brennende_fackel.png,images/objects/tarnkleidung.png,images/objects/brennende_fackel.png,images/objects/kaputtes_flugzeug.png,Nicht_korrekt,Korrekt,Nicht_korrekt,images/objects/kaputtes_flugzeug.png,images/objects/tarnkleidung.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/brennende_bohrinsel.png,images/objects/kanister_entzundlich.png,images/objects/loschfahrzeug.png,images/objects/ollache.png,images/objects/kanister_entzundlich.png,images/objects/loschfahrzeug.png,1.3648,0,14,[-0.5055555414270472],[-0.11296300534848813],images/objects/loschfahrzeug.png,images/objects/ollache.png,-0.505555541,-0.112963005,1,0,0,1.3648,image_left,0,36,36,6,1,images/scenes/brennende_bohrinsel.png,images/objects/kanister_entzundlich.png,images/objects/loschfahrzeug.png,images/objects/ollache.png,images/objects/kanister_entzundlich.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/loschfahrzeug.png,images/objects/ollache.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/kanalisation.png,images/objects/tote_schlange.png,images/objects/brandwunde.png,images/objects/tote_schlange.png,images/objects/fauler_zahn.png,images/objects/brandwunde.png,1.4756,0,14,[-0.6212962998284234],[-0.2629629770914714],images/objects/fauler_zahn.png,images/objects/brandwunde.png,-0.6212963,-0.262962977,1,0,0,1.4756,image_left,0,37,37,43,1,images/scenes/kanalisation.png,images/objects/tote_schlange.png,images/objects/brandwunde.png,images/objects/tote_schlange.png,images/objects/fauler_zahn.png,Nicht_korrekt,Korrekt,Nicht_korrekt,images/objects/fauler_zahn.png,images/objects/brandwunde.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/verlassenes_haus.png,images/objects/totenkopf.png,images/objects/tiergebiss.png,images/objects/messer.png,images/objects/totenkopf.png,images/objects/totenkopf.png,1.4541,1,15,[0.5944444161874277],[-0.2333333757188585],images/objects/messer.png,images/objects/tiergebiss.png,0.594444416,-0.233333376,1,0,0,1.4541,image_right,0,38,38,30,1,images/scenes/verlassenes_haus.png,images/objects/totenkopf.png,images/objects/tiergebiss.png,images/objects/messer.png,images/objects/totenkopf.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/messer.png,images/objects/tiergebiss.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/schlafplatz_obdachlose.png,images/objects/nasse_matratze.png,images/objects/tablettenverpackungen.png,images/objects/nasse_matratze.png,images/objects/kaputtes_sofa.png,images/objects/nasse_matratze.png,1.1589,1,16,[-0.027777777777777776],[-0.17500001412850838],images/objects/kaputtes_sofa.png,images/objects/tablettenverpackungen.png,-0.027777778,-0.175000014,1,0,0,1.1589,image_middle,0,39,39,40,1,images/scenes/schlafplatz_obdachlose.png,images/objects/nasse_matratze.png,images/objects/tablettenverpackungen.png,images/objects/nasse_matratze.png,images/objects/kaputtes_sofa.png,Nicht_korrekt,Korrekt,Nicht_korrekt,images/objects/kaputtes_sofa.png,images/objects/tablettenverpackungen.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/dreckige_kuche.png,images/objects/schimmelnde_erdbeere.png,images/objects/schimmelndes_brot.png,images/objects/schimmelnde_erdbeere.png,images/objects/dreckige_tasse.png,images/objects/dreckige_tasse.png,1.0589,0,16,[0.47500002825701676],[-0.19259262084960938],images/objects/schimmelndes_brot.png,images/objects/dreckige_tasse.png,0.475000028,-0.192592621,1,0,0,1.0589,image_right,0,40,40,32,1,images/scenes/dreckige_kuche.png,images/objects/schimmelnde_erdbeere.png,images/objects/schimmelndes_brot.png,images/objects/schimmelnde_erdbeere.png,images/objects/dreckige_tasse.png,Nicht_korrekt,Korrekt,Nicht_korrekt,images/objects/schimmelndes_brot.png,images/objects/dreckige_tasse.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/massengrab.png,images/objects/judenstern.png,images/objects/judenstern.png,images/objects/gebeine.png,images/objects/brennende_fackel.png,images/objects/gebeine.png,0.9834,0,16,[0.15648149560998986],[-0.17777782016330296],images/objects/brennende_fackel.png,images/objects/gebeine.png,0.156481496,-0.17777782,1,0,0,0.9834,image_middle,0,41,41,53,1,images/scenes/massengrab.png,images/objects/judenstern.png,images/objects/judenstern.png,images/objects/gebeine.png,images/objects/brennende_fackel.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/brennende_fackel.png,images/objects/gebeine.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/friedhof.png,images/objects/friedhofsstatue.png,images/objects/friedhofsstatue.png,images/objects/urne.png,images/objects/gruselige_puppe.png,images/objects/friedhofsstatue.png,1.2832,1,17,[-0.4749999929357458],[-0.14629632455331307],images/objects/gruselige_puppe.png,images/objects/urne.png,-0.474999993,-0.146296325,1,0,0,1.2832,image_left,0,42,42,0,1,images/scenes/friedhof.png,images/objects/friedhofsstatue.png,images/objects/friedhofsstatue.png,images/objects/urne.png,images/objects/gruselige_puppe.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/gruselige_puppe.png,images/objects/urne.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/krieg_mit_soldaten.png,images/objects/morserbombe.png,images/objects/gewehrriemen.png,images/objects/armbrust.png,images/objects/morserbombe.png,images/objects/armbrust.png,1.7315,0,17,[-0.07777779190628617],[-0.17037038449887876],images/objects/armbrust.png,images/objects/gewehrriemen.png,-0.077777792,-0.170370384,1,0,0,1.7315,image_middle,0,43,43,13,1,images/scenes/krieg_mit_soldaten.png,images/objects/morserbombe.png,images/objects/gewehrriemen.png,images/objects/armbrust.png,images/objects/morserbombe.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/armbrust.png,images/objects/gewehrriemen.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/op_saal.png,images/objects/blutspritze.png,images/objects/blutspritze.png,images/objects/tabletten.png,images/objects/blutige_schere.png,images/objects/blutige_schere.png,2.757,0,17,[0.4870370935510706],[-0.19537035624186197],images/objects/blutige_schere.png,images/objects/tabletten.png,0.487037094,-0.195370356,1,0,0,2.757,image_right,0,44,44,14,1,images/scenes/op_saal.png,images/objects/blutspritze.png,images/objects/blutspritze.png,images/objects/tabletten.png,images/objects/blutige_schere.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/blutige_schere.png,images/objects/tabletten.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/offentliche_toilette.png,images/objects/verdrecktes_waschbecken.png,images/objects/ampullen.png,images/objects/biomulltonne.png,images/objects/verdrecktes_waschbecken.png,images/objects/biomulltonne.png,1.0837,0,17,[0.011111153496636285],[-0.27314814814814814],images/objects/biomulltonne.png,images/objects/ampullen.png,0.011111153,-0.273148148,1,0,0,1.0837,image_middle,0,45,45,39,1,images/scenes/offentliche_toilette.png,images/objects/verdrecktes_waschbecken.png,images/objects/ampullen.png,images/objects/biomulltonne.png,images/objects/verdrecktes_waschbecken.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/biomulltonne.png,images/objects/ampullen.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/vermullter_fluss.png,images/objects/toter_seevogel.png,images/objects/toter_seevogel.png,images/objects/besitz_eines_obdachlosen.png,images/objects/abfallcontainer.png,images/objects/besitz_eines_obdachlosen.png,0.6655,0,17,[0.011111153496636285],[-0.27314814814814814],images/objects/besitz_eines_obdachlosen.png,images/objects/abfallcontainer.png,0.011111153,-0.273148148,1,0,0,0.6655,image_middle,0,46,46,25,1,images/scenes/vermullter_fluss.png,images/objects/toter_seevogel.png,images/objects/toter_seevogel.png,images/objects/besitz_eines_obdachlosen.png,images/objects/abfallcontainer.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/besitz_eines_obdachlosen.png,images/objects/abfallcontainer.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/waldbrand.png,images/objects/brennender_oltransporter.png,images/objects/tote_kuh.png,images/objects/feuerwehrschlauch.png,images/objects/brennender_oltransporter.png,images/objects/tote_kuh.png,0.9077,0,17,[-0.5379629488344546],[-0.25462962962962965],images/objects/tote_kuh.png,images/objects/feuerwehrschlauch.png,-0.537962949,-0.25462963,1,0,0,0.9077,image_left,0,47,47,24,1,images/scenes/waldbrand.png,images/objects/brennender_oltransporter.png,images/objects/tote_kuh.png,images/objects/feuerwehrschlauch.png,images/objects/brennender_oltransporter.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/tote_kuh.png,images/objects/feuerwehrschlauch.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/achterbahnunfall.png,images/objects/kaputtes_handy.png,images/objects/gebrochener_arm.png,images/objects/sarg.png,images/objects/kaputtes_handy.png,images/objects/sarg.png,1.1651,0,17,[0.025925954182942707],[-0.15925930164478444],images/objects/sarg.png,images/objects/gebrochener_arm.png,0.025925954,-0.159259302,1,0,0,1.1651,image_middle,0,48,48,57,1,images/scenes/achterbahnunfall.png,images/objects/kaputtes_handy.png,images/objects/gebrochener_arm.png,images/objects/sarg.png,images/objects/kaputtes_handy.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/sarg.png,images/objects/gebrochener_arm.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/intensivstation.png,images/objects/blutige_schere.png,images/objects/blutige_schere.png,images/objects/blutspritze.png,images/objects/uberwachungsmonitor.png,images/objects/uberwachungsmonitor.png,0.8899,0,17,[0.5314815662525318],[-0.08981482187906902],images/objects/blutspritze.png,images/objects/uberwachungsmonitor.png,0.531481566,-0.089814822,1,0,0,0.8899,image_right,0,49,49,10,1,images/scenes/intensivstation.png,images/objects/blutige_schere.png,images/objects/blutige_schere.png,images/objects/blutspritze.png,images/objects/uberwachungsmonitor.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/blutspritze.png,images/objects/uberwachungsmonitor.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/kaputtes_atomkraftwerk.png,images/objects/radioaktiver_mull.png,images/objects/radioaktiver_mull.png,images/objects/schutzanzug.png,images/objects/morserbombe.png,images/objects/schutzanzug.png,1.282,0,17,[0.058333361590350116],[-0.11759263497811777],images/objects/morserbombe.png,images/objects/schutzanzug.png,0.058333362,-0.117592635,1,0,0,1.282,image_middle,0,50,50,26,1,images/scenes/kaputtes_atomkraftwerk.png,images/objects/radioaktiver_mull.png,images/objects/radioaktiver_mull.png,images/objects/schutzanzug.png,images/objects/morserbombe.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/morserbombe.png,images/objects/schutzanzug.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/leichenhalle.png,images/objects/raucherlunge.png,images/objects/beinprothese.png,images/objects/op_besteck.png,images/objects/raucherlunge.png,images/objects/beinprothese.png,3.8487,0,17,[-0.5583333262690792],[-0.19537035624186197],images/objects/op_besteck.png,images/objects/beinprothese.png,-0.558333326,-0.195370356,1,0,0,3.8487,image_left,0,51,51,15,1,images/scenes/leichenhalle.png,images/objects/raucherlunge.png,images/objects/beinprothese.png,images/objects/op_besteck.png,images/objects/raucherlunge.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/op_besteck.png,images/objects/beinprothese.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/plastikteppich_am_strand.png,images/objects/tote_schildkrote.png,images/objects/toter_fisch.png,images/objects/tote_qualle.png,images/objects/tote_schildkrote.png,images/objects/tote_qualle.png,0.7822,0,17,[-0.019444430315936054],[-0.1935185326470269],images/objects/toter_fisch.png,images/objects/tote_qualle.png,-0.01944443,-0.193518533,1,0,0,0.7822,image_middle,0,52,52,28,1,images/scenes/plastikteppich_am_strand.png,images/objects/tote_schildkrote.png,images/objects/toter_fisch.png,images/objects/tote_qualle.png,images/objects/tote_schildkrote.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/toter_fisch.png,images/objects/tote_qualle.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/unordentlicher_schreibtisch.png,images/objects/schimmelndes_brot.png,images/objects/schimmelnde_erdbeere.png,images/objects/schimmelndes_brot.png,images/objects/lebensmittelmotten.png,images/objects/lebensmittelmotten.png,1.1564,0,17,[0.6342592592592593],[-0.19629633868182148],images/objects/schimmelnde_erdbeere.png,images/objects/lebensmittelmotten.png,0.634259259,-0.196296339,1,0,0,1.1564,image_right,0,53,53,38,1,images/scenes/unordentlicher_schreibtisch.png,images/objects/schimmelndes_brot.png,images/objects/schimmelnde_erdbeere.png,images/objects/schimmelndes_brot.png,images/objects/lebensmittelmotten.png,Nicht_korrekt,Korrekt,Nicht_korrekt,images/objects/schimmelnde_erdbeere.png,images/objects/lebensmittelmotten.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/brennende_savanne.png,images/objects/verbranntes_tier.png,images/objects/totes_krokodil.png,images/objects/tote_ratte.png,images/objects/verbranntes_tier.png,images/objects/totes_krokodil.png,2.1166,0,17,[-0.6157407407407407],[-0.21481485720034],images/objects/tote_ratte.png,images/objects/totes_krokodil.png,-0.615740741,-0.214814857,1,0,0,2.1166,image_left,0,54,54,47,1,images/scenes/brennende_savanne.png,images/objects/verbranntes_tier.png,images/objects/totes_krokodil.png,images/objects/tote_ratte.png,images/objects/verbranntes_tier.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/tote_ratte.png,images/objects/totes_krokodil.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/schlachthaus.png,images/objects/messer.png,images/objects/blutiger_handschuh.png,images/objects/messer.png,images/objects/blutige_sage.png,images/objects/messer.png,1.6158,1,18,[-0.08425924513075086],[-0.2212963104248047],images/objects/blutige_sage.png,images/objects/blutiger_handschuh.png,-0.084259245,-0.22129631,1,0,0,1.6158,image_middle,0,55,55,2,1,images/scenes/schlachthaus.png,images/objects/messer.png,images/objects/blutiger_handschuh.png,images/objects/messer.png,images/objects/blutige_sage.png,Nicht_korrekt,Korrekt,Nicht_korrekt,images/objects/blutige_sage.png,images/objects/blutiger_handschuh.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/absturzender_kampfjet.png,images/objects/panzer.png,images/objects/kampfhelm.png,images/objects/motorraduberreste.png,images/objects/panzer.png,images/objects/panzer.png,1.7594,1,19,[0.501851823594835],[-0.20833333333333334],images/objects/motorraduberreste.png,images/objects/kampfhelm.png,0.501851824,-0.208333333,1,0,0,1.7594,image_right,0,56,56,8,1,images/scenes/absturzender_kampfjet.png,images/objects/panzer.png,images/objects/kampfhelm.png,images/objects/motorraduberreste.png,images/objects/panzer.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/motorraduberreste.png,images/objects/kampfhelm.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/schlachthof.png,images/objects/blutiger_schweinekopf.png,images/objects/blutiger_schweinekopf.png,images/objects/kuhzunge.png,images/objects/blutige_messer.png,images/objects/kuhzunge.png,1.9989,0,19,[0.027777777777777776],[-0.21018522757071037],images/objects/blutige_messer.png,images/objects/kuhzunge.png,0.027777778,-0.210185228,1,0,0,1.9989,image_middle,0,57,57,9,1,images/scenes/schlachthof.png,images/objects/blutiger_schweinekopf.png,images/objects/blutiger_schweinekopf.png,images/objects/kuhzunge.png,images/objects/blutige_messer.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/blutige_messer.png,images/objects/kuhzunge.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/vermullte_wohnung.png,images/objects/verschutteter_kaffee.png,images/objects/verschutteter_kaffee.png,images/objects/pizzauberreste.png,images/objects/verschmutztes_wc.png,images/objects/verschmutztes_wc.png,4.3179,0,19,[0.681481537995515],[-0.20555559794108072],images/objects/verschmutztes_wc.png,images/objects/pizzauberreste.png,0.681481538,-0.205555598,1,0,0,4.3179,image_right,0,58,58,18,1,images/scenes/vermullte_wohnung.png,images/objects/verschutteter_kaffee.png,images/objects/verschutteter_kaffee.png,images/objects/pizzauberreste.png,images/objects/verschmutztes_wc.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/verschmutztes_wc.png,images/objects/pizzauberreste.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/steinschlag.png,images/objects/tote_giraffe.png,images/objects/toter_steinbock.png,images/objects/blutiger_kinderschuh.png,images/objects/tote_giraffe.png,images/objects/blutiger_kinderschuh.png,1.5565,0,19,[0.08981485720033999],[-0.24814817640516493],images/objects/blutiger_kinderschuh.png,images/objects/toter_steinbock.png,0.089814857,-0.248148176,1,0,0,1.5565,image_middle,0,59,59,34,1,images/scenes/steinschlag.png,images/objects/tote_giraffe.png,images/objects/toter_steinbock.png,images/objects/blutiger_kinderschuh.png,images/objects/tote_giraffe.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/blutiger_kinderschuh.png,images/objects/toter_steinbock.png,,,,,,,
,,,,,,,999,2024-06-30_23h13.31.593,E_forgetting_curve,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.791666667,-0.041666667,1,0,0,3.7686,polygon
